K,Rem,frictionFactor
0.6,2346.861761172173,6.85943292311206
0.6,1993.777837587114,6.501768702368289
0.6,1870.0178666692584,6.659401498588764
0.6,1760.0501445330358,7.574712985517471
0.6,1644.9266129117768,8.214381611811902
0.6,2820.2117023701503,4.7004571816416565
0.6,2820.2117023701503,4.802532168272803
0.6,2345.8138639029435,6.861961016655293
0.6,1992.467853177959,6.505016802709062
0.6,1868.3537163613155,6.663674107625583
0.6,1758.0402546614969,7.580677901269623
0.6,1642.6230531266965,8.221961790915014
0.6,2819.4471678744235,4.701171088461688
0.6,2819.4471678744235,4.803828979461088
0.6,2344.6840929909013,6.864724413966415
0.6,1991.037909002908,6.508571308490273
0.6,1866.535971416288,6.668322910726039
0.6,1755.8586062688646,7.587197043988092
0.6,1640.1128269104593,8.230265873392154
0.6,2818.619877175689,4.701944032028561
0.6,2818.619877175689,4.805238230262983
0.6,2343.4575988380066,6.867699086682188
0.6,1989.500930597052,6.512386522325925
0.6,1864.5888340820773,6.673349471762305
0.6,1753.5057632651328,7.594232309803079
0.6,1637.4124582437914,8.23920926723788
0.6,2817.720890314825,4.702784476411422
0.6,2817.720890314825,4.806751517065875
0.6,2342.141988374186,6.8708978901592666
0.6,1987.8507921263672,6.5164984211704535
0.6,1862.494823691961,6.678743488943369
0.6,1750.9879244480355,7.601786540579503
0.6,1634.5227762715156,8.248840661569709
0.6,2816.777225481339,4.703667266432164
0.6,2816.777225481339,4.808360429004074
0.6,2340.744863169876,6.874321447337066
0.6,1986.0877418390303,6.520908120932149
0.6,1860.2543766283843,6.6845307611144085
0.6,1748.2945489033482,7.609890202906335
0.6,1631.4342406178364,8.259149922171861
0.6,2815.7619728026207,4.704617686987704
0.6,2815.7619728026207,4.810082382846715
0.6,2339.2514215806427,6.877970425886181
0.6,1984.212044669694,6.525605099060134
0.6,1857.873892111278,6.690701271822023
0.6,1745.4319277230763,7.618546765146
0.6,1628.14784682533,8.2701868552838
0.6,2814.7021407715924,4.705610571587833
0.6,2814.7021407715924,4.8119003815909736
0.6,2337.676747451555,6.881845538535587
0.6,1982.223982140368,6.53059058472757
0.6,1855.3538447152207,6.6972571170352175
0.6,1742.4007952430154,7.627746176875477
0.6,1624.6698454523855,8.281897288006434
0.6,2813.561865811529,4.706679653032109
0.6,2813.561865811529,4.813831894198807
0.6,2336.006073404046,6.88593518064388
0.6,1980.130175021092,6.53587764401467
0.6,1852.688817394186,6.704212617982646
0.6,1739.19636851664,7.637492302397574
0.6,1621.0013226493877,8.294316865413295
0.6,2812.3681547023666,4.7077997631277295
0.6,2812.3681547023666,4.8158771924681245
0.6,2334.239580888217,6.890264866136123
0.6,1977.9182859737807,6.541444166766209
0.6,1849.8911833280035,6.711533882866739
0.6,1735.8361407453733,7.647761570855285
0.6,1617.153766852867,8.307436754703156
0.6,2811.112097332985,4.708979402493063
0.6,2811.112097332985,4.81801928190387
0.6,2332.39235336145,6.8948354917647645
0.6,1975.588664173336,6.547338758769653
0.6,1846.9378635464047,6.719296116689127
0.6,1732.287674216558,7.658669139338502
0.6,1613.0870138741202,8.32133903080927
0.6,2809.7937673358792,4.710218660238092
0.6,2809.7937673358792,4.820275717294013
0.6,2330.4496790577527,6.899610770080788
0.6,1973.1605866643283,6.553492236311875
0.6,1843.8648798683985,6.727417121701111
0.6,1728.5906932486391,7.670081145355133
0.6,1608.8540246628863,8.335909962522166
0.6,2808.4132419474304,4.711517630048401
0.6,2808.4132419474304,4.82262950160701
0.6,2328.426637951265,6.904616399011236
0.6,1970.6217821430675,6.559965256333352
0.6,1840.6433367967447,6.735936044177347
0.6,1724.7294863328934,7.682057820288183
0.6,1604.435412578678,8.351217251693319
0.6,2806.9885189998936,4.712859526138964
0.6,2806.9885189998936,4.825089583705521
0.6,2326.315986020774,6.909865816082013
0.6,1967.966339506152,6.566735939567267
0.6,1837.2856739588956,6.7448680700090815
0.6,1720.6995215846778,7.694632319671
0.6,1599.8222854979897,8.36659441003371
0.6,2805.4927947958085,4.714269762292343
0.6,2805.4927947958085,4.827656285506182
0.6,2324.117933645421,6.915335180084189
0.6,1965.207237551598,6.57380609079904
0.6,1833.792551162438,6.75419186441504
0.6,1716.5128390248667,7.707754104217766
0.6,1595.036579383422,8.381469424096213
0.6,2803.9351193262114,4.715740008200664
0.6,2803.9351193262114,4.830338628931202
0.6,2321.8252832587823,6.921038006177469
0.6,1962.3385891132896,6.581177600558363
