genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [2], [3], [], [], [], [0], [1]]",1150.1559514931926,5,(x[1]**Constant),(x[1]**0.845169081628545),1182.3380847869882,{'errortest': 1149.2058658353492},"[1, 1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [0, 2], [2, 0, 3], [0, 1, 1], [1, 1, 1, 0, 2, 0], [0, 1, 0, 1, 0, 1, 1], [0, 1, 1]]",1664.6900583540132,7,(x[0]-Constant**Constant)-(x[1]-Constant)+(x[1]*Constant)+(Constant**Constant),(x[0]-0.2781855355396379**0.8050698011792643)-(x[1]-0.6283153288303414)+(x[1]*0.6181304537874014)+(0.3317194048672927**0.36027021733924836),1707.955574777013,{'errortest': 1662.8136629853225},"[1, 1, 2, 3, 3, 6, 7, 3]"
"[[0], [1], [3, 0], [0, 1], [2, 0, 0, 1], [2, 1, 0, 2, 3, 2, 1], [0, 1, 0, 1, 1, 0, 0, 1], [1, 0, 1, 1]]",3061.399610677666,7,(x[1]*Constant-x[0]+Constant*(Constant/x[1]*(x[1]-Constant))),(x[1]*0.7027406496204158-x[0]+0.12633081424142834*(0.5300329605104208/x[1]*(x[1]-0.15110107973144005))),3141.0500551111986,{'errortest': 3057.9058040662267},"[1, 1, 2, 2, 4, 7, 8, 4]"
"[[0], [0], [1, 0], [2, 3, 1, 1], [1, 1, 2, 0, 1], [2, 1, 3, 3, 2, 2, 3, 2, 2], [1, 1, 0, 1, 0, 1, 0, 0, 1, 1], [1, 0, 1, 1]]",3569.7725019846976,7,(((Constant*Constant)**Constant)-x[1])/((Constant/x[0])*Constant)*(x[1]/x[1]*(Constant*Constant)),(((0.3466247493807977*0.7579857310646859)**0.5881009685129319)-x[1])/((0.8908349803893847/x[0])*0.5632835376617907)*(x[1]/x[1]*(0.7137772004364993*0.5379603115612238)),3745.96735996973,{'errortest': 3529.6239821242293},"[1, 1, 2, 4, 5, 9, 10, 4]"
"[[0], [2], [0], [1, 1], [2, 1, 1, 2], [0, 2, 1, 0, 1], [0, 1, 1, 1, 0, 0], [1, 1, 0]]",4088.5098265259394,7,((x[1]+(Constant*Constant))-((Constant+x[1])-x[0])**Constant),((x[1]+(0.47557963684363713*0.907051172996421))-((0.43719865277640124+x[1])-x[0])**0.676523677986603),4193.795389032659,{'errortest': 4083.6556947545055},"[1, 1, 1, 2, 4, 5, 6, 3]"
"[[0], [0], [2, 0], [0, 0, 1], [2, 2, 1, 0, 2, 1], [3, 1, 3, 2, 2, 1, 3, 2], [0, 0, 0, 0, 1, 1, 1, 0, 1], [1, 0, 1, 0, 0]]",4217.495604063443,7,(x[1]/x[0]**Constant)-(x[1]/x[0])*Constant*Constant-(Constant/(x[0]*Constant)),(x[1]/x[0]**0.22849809153731404)-(x[1]/x[0])*0.13627839949861698*0.2767072499419685-(0.5988466030151541/(x[0]*0.8749810794302666)),4301.198426271703,{'errortest': 4222.827228693789},"[1, 1, 2, 3, 6, 8, 9, 5]"
"[[0], [1], [2, 0], [3, 0, 0], [2, 1, 0, 0], [0, 0, 1, 0, 1, 0, 1], [0, 0, 1, 0, 1, 1, 1, 1], [1, 0, 1]]",4324.520756906166,7,((x[1]**Constant)+x[0]+(Constant-x[1])+Constant-Constant+Constant-Constant),((x[1]**0.43831379421459515)+x[0]+(0.9338116418989122-x[1])+0.08768271871034272-0.7329322538013946+0.38148953749021686-0.12730437117178328),4436.87167160504,{'errortest': 4319.587126388737},"[1, 1, 2, 3, 4, 7, 8, 3]"
"[[0], [1], [3, 3], [], [], [1], [0, 1], [1]]",4358.20711692881,5,(x[1]-Constant),(x[1]-0.011160577580653586),4471.619297142308,{'errortest': 4353.2301128191675},"[1, 1, 2, 0, 0, 1, 2, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4358.216887944478,4,x[1],x[1],4471.629261269178,{'errortest': 4353.239878775685},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4358.216887944478,4,x[1],x[1],4471.629261269178,{'errortest': 4353.239878775685},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4358.216887944478,4,x[1],x[1],4471.629261269178,{'errortest': 4353.239878775685},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4358.216887944478,4,x[1],x[1],4471.629261269178,{'errortest': 4353.239878775685},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4358.216887944478,4,x[1],x[1],4471.629261269178,{'errortest': 4353.239878775685},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",4358.216887944478,4,x[1],x[1],4471.629261269178,{'errortest': 4353.239878775685},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [0], [2, 0], [0, 1, 3], [2, 1, 1, 1], [0, 2, 2, 0, 3, 0, 0], [0, 1, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1]]",4358.550940266392,7,(x[0]+(Constant*x[0])**Constant)*((Constant+Constant)/(x[0]+x[0]))+x[1],(x[0]+(0.4555765523665135*x[0])**0.9891741268316445)*((0.4561077657261752+0.06670736500524943)/(x[0]+x[0]))+x[1],4471.969874154495,{'errortest': 4353.573767993734},"[1, 1, 2, 3, 4, 7, 8, 5]"
"[[0], [0], [3, 1], [3, 1], [0, 2], [0, 3, 3, 0], [0, 0, 1, 1, 0], [1, 0, 0]]",4358.571752632876,7,x[1]+(x[0]/(Constant/Constant+x[0])),x[1]+(x[0]/(0.4908195402798662/0.3394247875050612+x[0])),4471.998488161737,{'errortest': 4353.592800252975},"[1, 1, 2, 2, 2, 4, 5, 3]"
"[[0], [1], [0, 3], [0, 2], [2, 1, 2], [0, 2, 2, 1], [0, 0, 1, 1, 0], [0, 0, 1]]",4359.94868355785,7,(x[0]+(x[0]*Constant)*(Constant**Constant)-x[1]),(x[0]+(x[0]*0.5944398370774355)*(0.7265781155564314**0.37893160146417504)-x[1]),4473.31846694991,{'errortest': 4355.006606806752},"[1, 1, 2, 2, 3, 4, 5, 3]"
"[[0], [1], [0, 0], [2, 0, 1, 1], [1, 1, 0, 2, 0, 0, 0], [2, 3, 3, 1, 3, 3, 2, 3, 1, 1, 2, 1], [0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1, 1, 1]]",4360.280249641815,7,(((x[0]*x[0])**Constant)/(Constant/Constant)-x[0]/x[1]/(x[1]*Constant/x[1])-(x[1]-Constant*Constant-Constant)),(((x[0]*x[0])**0.3853814332981259)/(0.9441314512723121/0.4715984949429045)-x[0]/x[1]/(x[1]*0.2788372715928974/x[1])-(x[1]-0.23891545415225102*0.10790788612546909-0.6528876798763275)),4473.688752560617,{'errortest': 4355.330241509854},"[1, 1, 2, 4, 7, 12, 13, 7]"
"[[0], [0], [2, 0], [0, 1, 0], [0, 0, 2, 0, 2, 0], [2, 3, 3, 2, 2, 2, 3, 0, 1], [1, 1, 0, 1, 0, 1, 0, 1, 0, 1], [0, 0, 1, 1]]",4570.200725008735,7,(Constant*Constant/x[0]/Constant**Constant)*(x[0]*Constant*x[1])/Constant+x[1]-Constant,(0.1986880504394256*0.22836789754371323/x[0]/0.3040504805314046**0.7592209930908295)*(x[0]*0.29046460450388945*x[1])/0.6689020006153001+x[1]-0.1429994801336324,4689.128978933844,{'errortest': 4564.982219895497},"[1, 1, 2, 3, 6, 9, 10, 4]"
"[[0], [0], [3, 3], [], [], [2], [0, 0], [1, 0]]",4662.121242622792,5,x[1]*x[0],x[1]*x[0],4892.326932591233,{'errortest': 4609.640201521475},"[1, 1, 2, 0, 0, 1, 2, 2]"
"[[0], [0], [1, 0], [2, 0, 1, 2], [2, 0, 1, 1, 2, 2], [0, 3, 1, 3, 0, 2, 1, 3], [1, 0, 0, 1, 1, 1, 1, 0, 1], [1, 0, 0]]",5102.9333324747995,7,((Constant**Constant)+x[1]/x[0]-(Constant/Constant))+((Constant*Constant)-x[0])/(Constant**Constant),((0.007978882000117204**0.2890239003320443)+x[1]/x[0]-(0.2766885613211706/0.663189721062693))+((0.7195244073354367*0.06947726819323463)-x[0])/(0.11069801085598396**0.6331307384050444),5084.924180625172,{'errortest': 5134.741692441033},"[1, 1, 2, 4, 6, 8, 9, 3]"
"[[0], [1], [1, 0], [1, 3, 3, 0], [0, 1, 0, 0], [3, 2, 3, 3, 2, 0, 2, 3, 3], [1, 0, 1, 1, 0, 1, 0, 1, 0, 0], [1, 1, 1, 0, 0]]",8127.15969591357,7,(((Constant/x[1]*(Constant/Constant))/x[1])*Constant+x[1]*Constant/x[0]/x[0]),(((0.4304189359147862/x[1]*(0.08386727181304032/0.5923452307249856))/x[1])*0.3995951661876217+x[1]*0.9493403795311895/x[0]/x[0]),8013.758704661348,{'errortest': 8074.579201333902},"[1, 1, 2, 4, 4, 9, 10, 5]"
"[[0], [0], [0, 3], [0, 1], [2, 1, 2, 0], [0, 3, 1, 0, 2, 2], [1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 1]]",8335.363397575149,7,Constant+(x[0]/Constant)-(x[0]+Constant*x[0])*x[1],0.9980866578375189+(x[0]/0.7913625169361441)-(x[0]+0.7874638033743158*x[0])*x[1],8746.848435300304,{'errortest': 8241.573772723008},"[1, 1, 2, 2, 4, 6, 7, 4]"
