genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [3], [3], [], [], [1], []]",14.944450992007148,3,Constant * (x[1]**Constant) * (x[2]),0.8368896690134116 * (x[1]**0.5936544320925942) * (x[2]),14.550517828275911,{'errortest': 14.613004510609722},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [3, 0], [0, 2], [3, 2, 2, 3, 3, 3, 0], [1, 1, 0, 0, 0, 0, 0, 1], [0, 0, 0]]",15.453155967957642,3,Constant * (x[1]**Constant) * (x[2]),0.03089457109011262 * (x[1]**0.9723589199930318) * (x[2]),14.207970858859902,{'errortest': 15.042514280945793},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [1], []]",16.589830607934005,3,Constant * (x[1]**Constant) * (x[2]),0.6045333265320817 * (x[1]**0.577290592137943) * (x[2]),18.339423872779907,{'errortest': 17.28701898268275},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [2], [1], [1, 0], [3, 2, 3], [1, 0, 0, 1], [0, 0]]",17.005570405361166,6,(((Constant/x[0])*x[0]/Constant)**Constant) * (x[1]**Constant) * (x[2]),(((0.5443850303655082/x[0])*x[0]/0.9799974635832255)**0.07201046045992865) * (x[1]**0.5220687612411292) * (x[2]),18.81072842415337,{'errortest': 17.715461089851132},"[1, 1, 1, 2, 3, 4, 2]"
"[[0], [3], [0, 2], [], [1, 1, 0, 3], [0, 1, 0, 0, 0], [0, 0, 0, 0]]",21.85967492329115,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.5395422766844981) * (x[2]),22.39866770173799,{'errortest': 22.873886395344275},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [3, 3], [], [1], [1, 1, 1, 1], [0]]",22.542211738534018,4,(Constant-Constant) * (x[1]**Constant) * (x[2]),(0.7988030559550632-0.49703346836719564) * (x[1]**0.6440285339597718) * (x[2]),24.32707893805718,{'errortest': 23.18323705308472},"[1, 1, 2, 0, 1, 2, 0]"
"[[0], [0], [3, 2], [2, 0], [3, 2, 2, 3, 3, 3, 0], [0, 1, 0, 0, 1], [0, 0, 0]]",32.470201860156756,5,x[0]/(Constant**Constant) * (x[1]**Constant) * (x[2]),x[0]/(0.9768690974713147**0.2196573408624649) * (x[1]**0.5741585006775511) * (x[2]),33.963739869506874,{'errortest': 32.50653526134039},"[1, 1, 2, 1, 1, 2, 1]"
"[[0], [2], [3], [], [0, 2, 2], [0, 0, 0, 1], [0]]",36.60296573863692,5,(x[0]**Constant) * (x[1]**Constant) * (x[2]),(x[0]**0.8882973584344648) * (x[1]**0.46150886842140104) * (x[2]),38.00027637865325,{'errortest': 37.58054361980868},"[1, 1, 1, 0, 0, 1, 1]"
"[[0], [3], [3, 3], [], [0], [0, 0], [0, 0]]",40.93537699146381,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.4417083757635254) * (x[2]),42.47143053531427,{'errortest': 41.86990942839499},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [2, 3], [2], [0], [0, 0], [0, 0]]",41.41025445286727,6,((x[0]**Constant)+x[0]) * (x[1]**Constant) * (x[2]),((x[0]**0.4295306744363212)+x[0]) * (x[1]**0.3563723261651821) * (x[2]),43.25937480709388,{'errortest': 42.254893865828286},"[1, 1, 2, 1, 1, 2, 2]"
