genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [3], [], [], [], [], [1], []]",3.8671492454007628,3,Constant,0.24308262342401843,3.863310922358259,{'errortest': 4.05075834424152},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",3.9313555990520643,3,Constant,0.17109805509169906,3.9264470261860156,{'errortest': 4.113603883103754},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [1], [1, 0], [2, 1, 3, 0], [1, 1, 1, 1, 0], [0, 1, 3, 2, 1, 0, 2, 1, 2, 3], [1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1], [0, 0]]",3.9776241499083964,7,((((Constant+Constant)**Constant)-((Constant/Constant)*(Constant-Constant)))+Constant*(Constant-x[0])*x[0]/Constant),((((0.7939936247451379+0.37358738858914764)**0.5481659222189151)-((0.6944950089350828/0.6802545301474107)*(0.7428336252474925-0.1738333577854303)))+0.37201911338776095*(0.7006915817363714-x[0])*x[0]/0.2726479567820501),4.018925913427435,{'errortest': 4.1434484449513445},"[1, 1, 2, 4, 5, 10, 11, 2]"
"[[0], [2], [1], [3, 2], [1], [2, 3], [1, 1, 0], [0]]",3.99039779493948,7,((Constant*((Constant/x[0])**Constant))**Constant),((0.1029822907328305*((0.057731467436081374/x[0])**0.4579841806614877))**0.6473119896446567),3.9854887497790625,{'errortest': 4.1709073322310175},"[1, 1, 1, 2, 1, 2, 3, 1]"
"[[0], [3], [], [], [], [], [1], []]",4.025012915180407,3,Constant,0.06661966768872751,4.018612068124271,{'errortest': 4.205339180638571},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [], [1], []]",4.025103943270928,3,Constant,0.06651841052932816,4.018701683830932,{'errortest': 4.205428375989386},"[1, 1, 0, 0, 0, 0, 1, 0]"
"[[0], [1], [2, 1], [0, 2, 1], [2, 0, 2, 0, 2], [2, 2, 3, 0, 3, 1], [1, 0, 0, 0, 1, 1, 0], [0, 1, 1, 0]]",4.046202311621049,7,((Constant*x[0]*x[1]**Constant)/((x[1]**Constant)+(Constant/Constant-x[0]))),((0.2981031100559386*x[0]*x[1]**0.028567966091300634)/((x[1]**0.24464246800655953)+(0.6914026138344436/0.455843994650171-x[0]))),4.038313146931142,{'errortest': 4.2266152130893175},"[1, 1, 2, 3, 5, 6, 7, 4]"
"[[0], [1], [3, 0], [2, 3], [0], [3, 0, 3], [1, 0, 1, 0], [0, 1]]",4.084774111647515,7,(Constant/(x[0]+Constant**Constant)/x[1]),(0.9655221227216941/(x[0]+0.3927364615316168**0.8337465336748914)/x[1]),4.077479091736248,{'errortest': 4.263907654702855},"[1, 1, 2, 2, 1, 3, 4, 2]"
"[[0], [0], [3, 1], [0, 2], [2, 1, 0], [3, 1, 1, 3, 0], [1, 1, 0, 0, 0, 0], [0, 1, 0, 0]]",4.084782716378999,7,Constant/(Constant-(x[0]-x[1])/(x[0]+x[0]**Constant)),0.41452566108153377/(0.46620759749976715-(x[0]-x[1])/(x[0]+x[0]**0.9180925538352112)),4.077471763633643,{'errortest': 4.2639203522652505},"[1, 1, 2, 2, 3, 5, 6, 4]"
"[[0], [1], [0, 0], [3, 0, 3, 1], [1, 2, 1, 2], [2, 3, 2, 2, 3, 1, 3], [0, 0, 0, 0, 1, 1, 0, 1], [0, 0, 0, 0, 1]]",4.08500721123104,7,(x[0]*(x[0]/x[0])*x[0]*Constant/((Constant-x[1])/Constant)),(x[0]*(x[0]/x[0])*x[0]*0.056574238630460405/((0.227495311576562-x[1])/0.035471859508523385)),4.07769083587738,{'errortest': 4.26414002408563},"[1, 1, 2, 4, 4, 7, 8, 5]"
