genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [3], [2], [0], [2], [0, 0, 0, 0, 1], [0]]",30.795550991882305,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.335822789747923) * (x[2]),33.924763359692975,{'errortest': 36.108132165955965},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [1], [0, 1], [1, 0, 2, 2], [1, 0, 0, 0, 3], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0]]",32.6775914092876,6,((x[0]-x[0])+x[0]+x[0]+(x[0]/Constant)) * (x[1]**Constant) * (x[2]),((x[0]-x[0])+x[0]+x[0]+(x[0]/0.19812254464306933)) * (x[1]**0.02389150404380036) * (x[2]),35.97744141590164,{'errortest': 37.978902963451034},"[1, 1, 2, 4, 5, 6, 5]"
"[[0], [3], [], [], [1, 0, 0], [0, 0, 0, 1], [0]]",32.70882924100157,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.2895771065220091) * (x[2]),35.87568380282872,{'errortest': 37.872667482386674},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [2], [1, 0], [2], [0, 1], [0]]",32.74538292128183,6,(((x[0]*Constant)**Constant)**Constant) * (x[1]**Constant) * (x[2]),(((x[0]*0.14212724191218684)**0.5603364585982823)**0.283169305550117) * (x[1]**0.3128718343684934) * (x[2]),35.73433293357924,{'errortest': 37.3001078585162},"[1, 1, 1, 1, 1, 2, 1]"
"[[0], [3], [], [1], [], [0, 0, 0, 0, 1], [0, 0, 0, 0]]",33.03069753871956,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.6233246240980058) * (x[2]),33.35921654292885,{'errortest': 28.01059840966227},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [2], [0, 2], [2, 2, 2, 0], [0, 0, 0, 0], [1, 1], [0, 0]]",33.42416542059623,5,(Constant+Constant**Constant) * (x[1]**Constant) * (x[2]),(0.5062470357908893+0.4654597358440743**0.09899393443727977) * (x[1]**0.19614760742622628) * (x[2]),36.45163713461446,{'errortest': 37.95514104624954},"[1, 1, 1, 2, 1, 2, 0]"
"[[0], [3], [1, 2], [], [2, 3, 0, 0], [1], [0, 0, 0]]",34.19826955628722,3,Constant * (x[1]**Constant) * (x[2]),0.23278116838946905 * (x[1]**0.4159128909181887) * (x[2]),37.192013440720665,{'errortest': 38.67064950532133},"[1, 1, 0, 0, 0, 1, 0]"
"[[0], [3], [], [], [], [0, 1, 0, 1], [0]]",34.28290554804585,4,x[0] * (x[1]**Constant) * (x[2]),x[0] * (x[1]**0.23558698780635534) * (x[2]),37.46999809634939,{'errortest': 39.3115085914382},"[1, 1, 0, 0, 0, 1, 1]"
"[[0], [0], [3, 2], [1, 1], [3, 3, 2, 0], [1, 1, 0, 1, 1], [0, 0]]",34.4131211133259,6,Constant/((Constant/x[0])**Constant) * (x[1]**Constant) * (x[2]),0.43589623131730937/((0.2740460102167004/x[0])**0.6387629048213335) * (x[1]**0.224708018771533) * (x[2]),37.552754815723915,{'errortest': 39.267693483866125},"[1, 1, 2, 1, 2, 3, 1]"
"[[0], [1], [3, 0], [1, 0], [1, 2, 3, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0]]",34.95417884794483,6,(x[0]-(x[0]*x[0])/x[0]+Constant) * (x[1]**Constant) * (x[2]),(x[0]-(x[0]*x[0])/x[0]+0.028904547544460257) * (x[1]**0.6654034518308218) * (x[2]),37.93862221853353,{'errortest': 39.40014437000947},"[1, 1, 2, 2, 4, 5, 4]"
"[[0], [0], [3, 1], [0, 2], [2, 3, 2], [0, 1, 1, 0], [0, 0]]",35.02182370547301,6,x[0]*(Constant/Constant*x[0]) * (x[1]**Constant) * (x[2]),x[0]*(0.5915851234339101/0.23260029691315687*x[0]) * (x[1]**0.0780136483868542) * (x[2]),38.35469874873025,{'errortest': 40.32766162538727},"[1, 1, 2, 2, 3, 4, 2]"
