K,Rem,frictionFactor
1.2,1997.9832489927992,3.086276748396778
1.2,1917.542393571843,2.7975479783332475
1.2,1939.4386329934769,3.302240385426137
1.2,2463.9042819087745,2.434582870670416
1.2,2463.9042819087745,2.427641007140459
1.2,2328.2340465400566,2.6955156973606518
1.2,2202.3692705650205,2.724193318565118
1.2,2115.873860997613,2.785862315216774
1.2,2065.671935755769,2.6678796221178644
1.2,2052.638633885633,2.58242191492719
1.2,1995.338071853442,3.0888806904596136
1.2,1914.667123676378,2.8001862677417195
1.2,1936.1900672369388,3.305629409319604
1.2,2463.0477102786263,2.435057220649385
1.2,2463.0477102786263,2.428331433747354
1.2,2327.053289866343,2.696543387096649
1.2,2200.872930252769,2.7255108479089905
1.2,2114.051480772329,2.787495322773814
1.2,2063.517068373127,2.669722254699314
1.2,2050.1174060673875,2.5844897616557367
1.2,1992.498724303974,3.091688999575672
1.2,1911.575840653584,2.8030260944009324
1.2,1932.705485173556,3.3092814189159787
1.2,2462.1285623977465,2.4355665910393705
1.2,2462.1285623977465,2.4290787526584023
1.2,2325.776585863247,2.6976539793235355
1.2,2199.2581662430907,2.726927392275708
1.2,2112.095643643367,2.7892503158225423
1.2,2061.20623914118,2.6717065252141503
1.2,2047.409295478956,2.5867143018927514
1.2,1989.4532304973925,3.0947083450969965
1.2,1908.2633725271776,2.8060888752261
1.2,1928.96136030026,3.3132160413712395
1.2,2461.1547519245228,2.4361066692407816
1.2,2461.1547519245228,2.429874370427038
1.2,2324.41890782715,2.6988380081698584
1.2,2197.5392354808405,2.728443258543666
1.2,2110.00667623422,2.7911277517282542
1.2,2058.7399102535114,2.673833059901083
1.2,2044.5149554827035,2.589100993426557
1.2,1986.1960800724191,3.0979399493654185
1.2,1904.730734635436,2.8093659277668754
1.2,1924.971328143791,3.3174352654205888
1.2,2460.110637952582,2.436686212958409
1.2,2460.110637952582,2.4307270857369754
1.2,2322.965554681206,2.700105344706361
1.2,2195.702336357445,2.7300587756369885
1.2,2107.78492696097,2.793133137777707
1.2,2056.112008160178,2.67609771916783
1.2,2041.4416039766445,2.591641392075182
1.2,1982.7408607529696,3.101390714575237
1.2,1900.972931891284,2.8128587309954995
1.2,1920.7367375740528,3.321935231386389
1.2,2459.0041452115856,2.437300917646497
1.2,2459.0041452115856,2.4316283075710485
1.2,2321.4315020020986,2.7014465337346505
1.2,2193.761735751301,2.7317742947049792
1.2,2105.430765887679,2.79526199561
1.2,2053.3296371286124,2.678506017603888
1.2,2038.183442183316,2.59434574144136
1.2,1979.0758364553717,3.105062083842157
1.2,1896.991141907558,2.8165790451271167
1.2,1916.2467608808888,3.3267181821990714
1.2,2457.835347886112,2.4379508363246734
1.2,2457.835347886112,2.432582501946729
1.2,2319.8094866106253,2.702866642975012
1.2,2191.7106789690006,2.7335951004086567
1.2,2102.9378686467494,2.7975148835259085
1.2,2050.3933509268245,2.6810538907271826
1.2,2034.7477538747592,2.5972103670798283
1.2,1975.2083491869107,3.108949980528597
