K,Rem,cdrag
0.6,2354.218049263158,2.2813379865796195
0.6,2035.4667134378076,2.3811503597432635
0.6,1882.1160236148264,2.2533428744935904
0.6,1805.9829294438368,2.309667056772208
0.6,1736.4548933625026,2.2972685327914903
0.6,1621.253261799495,2.2817915045210277
0.6,1554.4224987326158,2.154290388611694
0.6,1533.254587497541,2.0586288817470844
0.6,2825.441059699584,2.0356080697666257
0.6,2825.441059699584,2.2686926251437285
0.6,2353.5273405770763,2.2818711194964068
0.6,2034.5774245988785,2.3819189010476243
0.6,1881.0116410782057,2.254267240066456
0.6,1804.6410249442783,2.310826788533672
0.6,1734.865639077827,2.2986738169986127
0.6,1619.4644253996796,2.283432190011722
0.6,1552.424870012102,2.156070834549181
0.6,1531.0103672241762,2.060515924517357
0.6,2824.9274551090984,2.0357670568427992
0.6,2824.9274551090984,2.269067245091528
0.6,2352.7467541834103,2.282485430423451
0.6,2033.552245781846,2.3828002436399887
0.6,1879.745903814233,2.2553228020307725
0.6,1803.110136760621,2.3121400743465457
0.6,1733.0675040046776,2.3002588537750253
0.6,1617.450185182729,2.285291182526544
0.6,1550.1672438134751,2.158099680187468
0.6,1528.4616200295168,2.0626654973036853
0.6,2824.3508741998035,2.035948991870552
0.6,2824.3508741998035,2.269488199099852
0.6,2351.8763688448007,2.283163816012973
0.6,2032.4237770020648,2.3837794145786355
0.6,1878.34307074299,2.256499629147932
0.6,1801.4079333511268,2.3136148588601197
0.6,1731.055535811412,2.30203893367822
0.6,1615.1958155533955,2.287370269904843
0.6,1547.6506197983788,2.1603616481097165
0.6,1525.6291706767568,2.065065522266532
0.6,2823.711350930974,2.0361488119350653
0.6,2823.711350930974,2.269954660130104
0.6,2350.908772947376,2.283919563255826
0.6,2031.166248262479,2.384867632439937
0.6,1876.78544622202,2.257804378871891
0.6,1799.5233562141636,2.3152402010005617
0.6,1728.8414274609167,2.3040004037953272
0.6,1612.717647283116,2.28966992627204
0.6,1544.876110051052,2.162874888776353
0.6,1522.4949604441908,2.067731441769831
0.6,2823.0089229583427,2.03636907049768
0.6,2823.0089229583427,2.2704651037428034
0.6,2349.851568578719,2.2847421559275536
0.6,2029.799300031029,2.386053299136145
0.6,1875.091321249072,2.259230310287141
0.6,1797.4683842658085,2.317022540234724
0.6,1726.420351230773,2.3061577039160026
0.6,1610.0011656763031,2.292195958940775
0.6,1541.8400133603725,2.165628862833969
0.6,1519.0751880146015,2.0706565265284285
0.6,2822.252633994906,2.036606145338462
0.6,2822.252633994906,2.271019596070126
0.6,2348.704862244737,2.285644018458994
0.6,2028.3037099773876,2.387353818729644
0.6,1873.2371066214464,2.2607900506140246
0.6,1795.226339188325,2.3189751026186656
0.6,1723.7765612331195,2.3085202372198426
0.6,1607.0371672040706,2.294958116865108
0.6,1538.5338598921142,2.168641007785657
0.6,1515.3521821667734,2.0738541460423368
0.6,2821.433522084059,2.036863691726119
0.6,2821.433522084059,2.271622272513813
0.6,2347.4612796679216,2.2866171565190663
0.6,2026.6926642145024,2.3887524418184647
0.6,1871.247113395093,2.262471976672709
0.6,1792.8150107750068,2.321077904976982
0.6,1720.9384407671978,2.311064315699465
0.6,1603.8576007200456,2.2979415312759834
0.6,1534.9788039147752,2.1718938461057395
0.6,1511.3520674110596,2.077308002310202
0.6,2820.551635408115,2.0371391889193884
0.6,2820.551635408115,2.272262613204028
0.6,2346.1359283879965,2.2876601716320613
0.6,2024.966405285332,2.390257175773888
0.6,1869.1097889189537,2.2642797957890584
0.6,1790.2292839508318,2.3233384933893086
0.6,1717.8958619039204,2.313798390212364
0.6,1600.4533680841862,2.301147545906844
0.6,1531.1763702928931,2.175397941364212
0.6,1507.0671455907425,2.0810331719566797
