genotype,fitness,tree_depth,original_phenotype,phenotype,fitness_validation,other_info,mapping_values
"[[0], [3], [], [], [], [], [0], [1]]",5060.841376473961,4,x[1],x[1],5301.665628282603,{'errortest': 5166.533097798373},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [3], [], [], [], [], [0], [1]]",5060.841376473961,4,x[1],x[1],5301.665628282603,{'errortest': 5166.533097798373},"[1, 1, 0, 0, 0, 0, 1, 1]"
"[[0], [0], [0, 0], [3, 1, 1, 2], [1, 2, 0, 2, 0], [3, 1, 1, 0, 0, 2, 1, 0], [1, 1, 0, 1, 1, 0, 0, 1, 1], [1, 1, 0]]",5069.429965342205,7,Constant/((Constant-x[1])-Constant)+(Constant+x[1]*x[0])-(Constant+Constant**Constant),0.5457101711659188/((0.8424344322073508-x[1])-0.5956832188173005)+(0.11884450246633793+x[1]*x[0])-(0.28980206450223733+0.8354857257911806**0.1509120202049148),5587.308878638431,{'errortest': 5132.988311862172},"[1, 1, 2, 4, 5, 8, 9, 3]"
"[[0], [0], [0, 3], [0, 0], [1, 2, 0, 1], [1, 0, 1, 3, 0, 2, 1], [1, 1, 0, 0, 1, 0, 1, 0], [1, 0, 1, 0]]",6503.538323854314,7,(Constant-Constant)+x[1]-x[0]/Constant+(x[1]*Constant)-x[0],(0.17813099398706744-0.8143785975979093)+x[1]-x[0]/0.8848101839274711+(x[1]*0.28549087727480604)-x[0],6812.997344436917,{'errortest': 6639.435115275703},"[1, 1, 2, 2, 4, 7, 8, 4]"
"[[0], [1], [3, 1], [0, 3], [1, 2], [3, 3, 0, 1], [0, 1, 0, 1, 0], [1, 1, 0]]",9753.465248943123,7,(x[1]/((Constant/x[1])+Constant-x[0])),(x[1]/((0.6218458994720066/x[1])+0.18923317750038493-x[0])),9622.249786631897,{'errortest': 11174.257014153856},"[1, 1, 2, 2, 2, 4, 5, 3]"
"[[0], [1], [0, 0], [1, 0, 0, 0], [0, 0, 0, 2, 2, 0, 0, 2], [0, 3, 2, 1, 0, 1, 3, 3, 1, 0, 0, 3], [0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1], [1, 0, 1]]",10107.531053409724,7,((x[1]+Constant/Constant*Constant)-x[0]+x[1]-Constant/Constant/Constant-Constant+Constant+Constant/Constant),((x[1]+0.1582052894603/0.15267972565931964*0.8343166061697725)-x[0]+x[1]-0.3762411132886202/0.06366121814765313/0.35667845214235483-0.17410707332280495+0.6732154966378833+0.05972281660208412/0.7325339994505798),10589.09194727221,{'errortest': 10318.948091297976},"[1, 1, 2, 4, 8, 12, 13, 3]"
"[[0], [1], [3, 1], [1, 3], [2, 1], [2, 0, 3, 1], [1, 0, 0, 1, 0], [0, 1, 0]]",29404.44920853501,7,(Constant*((x[0]+(x[1]/Constant))-x[0])),(0.9903717193400313*((x[0]+(x[1]/0.17050478329204743))-x[0])),30803.149705815307,{'errortest': 30018.50417337321},"[1, 1, 2, 2, 2, 4, 5, 3]"
"[[0], [0], [3, 1], [2, 1], [1, 1, 0], [2, 1, 3, 2, 0, 0], [1, 1, 1, 1, 1, 0, 1], [0]]",9999999.0,7,Constant*(((Constant-Constant)**Constant)/((Constant*Constant)+x[0]+Constant)),0.04599874072346399*(((0.023924003802028637-0.8232142352985837)**0.9495994026135465)/((0.275064894276818*0.3517507592671657)+x[0]+0.2345854939680717)),9999999.0,{'errortest': 9999999},"[1, 1, 2, 2, 3, 6, 7, 1]"
"[[0], [2], [2], [0], [0, 1], [2, 3, 1], [1, 0, 1, 1], [1]]",9999999.0,7,((Constant*x[1]/(Constant-Constant)**Constant)**Constant),((0.6136294264133141*x[1]/(0.0025195313402388564-0.8848408811893181)**0.6152438245630055)**0.48336811047748895),9999999.0,{'errortest': 9999999},"[1, 1, 1, 1, 2, 3, 4, 1]"
"[[0], [1], [2, 0], [2, 3, 2], [0, 1], [1, 0, 3, 2], [1, 0, 1, 0, 0], [0, 0, 0]]",9999999.0,7,(((Constant-x[0]**Constant)**Constant)+Constant/((x[0]*x[0])**Constant)),(((0.06663798072992766-x[0]**0.20891500843046373)**0.1140431303678805)+0.29833621898560825/((x[0]*x[0])**0.34674823320978465)),9999999.0,{'errortest': 9999999},"[1, 1, 2, 3, 2, 4, 5, 3]"
