,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
10,"[[0], [2], [2], [0], [2, 1], [3, 3], [1, 1, 1], []]",1.188229114065223,6,((Constant/(Constant/Constant)**Constant)**Constant),"[1, 1, 1, 1, 2, 2, 3, 0]",((0.5236470540742222/(0.15428891256698196/0.23982645969816452)**0.48930416532693777)**0.9171299363198364),[0.52364705 0.15428891 0.23982646 0.48930417 0.91712994],1.283013201287704,"{'fitness 25': 1.188229114065223, 'fitness 53': 1.2759897392542854, 'fitness 74': 1.288061732751718, 'fitness 102': 1.284988131857109}",False
11,"[[0], [3], [], [], [], [], [1], []]",1.2833193414654167,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.5762445611165821,[0.57624456],1.3773699085335824,"{'fitness 25': 1.2833193414654167, 'fitness 53': 1.3701454439843601, 'fitness 74': 1.3825107119712918, 'fitness 102': 1.3794535696450958}",False
12,"[[0], [2], [0], [3, 2], [1], [2, 0], [0, 1, 1], [0]]",1.2943236551842683,6,(x[0]*((Constant+Constant)**Constant)**Constant),"[1, 1, 1, 2, 1, 2, 3, 1]",(x[0]*((0.010941498708957775+0.3673180238335234)**0.47204644787217576)**0.9823542310783441),[0.0109415  0.36731802 0.47204645 0.98235423],1.392086161895383,"{'fitness 25': 1.2943236551842683, 'fitness 53': 1.388437142523874, 'fitness 74': 1.3905734927118436, 'fitness 102': 1.3972478504504309}",False
13,"[[0], [3], [], [], [], [], [1], []]",1.31779677553464,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.5410873626115217,[0.54108736],1.411601247948208,"{'fitness 25': 1.31779677553464, 'fitness 53': 1.4043111850022618, 'fitness 74': 1.4167720461570772, 'fitness 102': 1.4137205126852859}",False
14,"[[0], [3], [], [], [], [], [1], []]",1.3340531844191827,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.5245229784137282,[0.52452298],1.4277450088029948,"{'fitness 25': 1.3340531844191827, 'fitness 53': 1.4204252116714222, 'fitness 74': 1.432929383337572, 'fitness 102': 1.4298804313999898}",False
15,"[[0], [2], [1], [3, 0], [2, 1], [2, 2, 0], [1, 1, 1, 1], []]",1.3384373478459917,6,((Constant*Constant*(Constant+Constant))**Constant),"[1, 1, 1, 2, 2, 3, 4, 0]",((0.4543681966379991*0.5484621329499569*(0.016506943729792445+0.7707341801623496))**0.4014334453045205),[0.4543682  0.54846213 0.01650694 0.77073418 0.40143345],1.4320991532426897,"{'fitness 25': 1.3384373478459917, 'fitness 53': 1.4247714629266095, 'fitness 74': 1.4372871296596885, 'fitness 102': 1.434238867141771}",False
16,"[[0], [3], [], [], [], [], [1], []]",1.3866960098868337,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.47093372720437354,[0.47093373],1.4800371496746543,"{'fitness 25': 1.3866960098868337, 'fitness 53': 1.4726259292920885, 'fitness 74': 1.4852631897211706, 'fitness 102': 1.482222330010704}",False
17,"[[0], [0], [3, 0], [3, 2], [2], [2, 3], [1, 1, 1], []]",1.5445344918892683,6,Constant*Constant/(Constant**Constant),"[1, 1, 2, 2, 1, 2, 3, 0]",0.8476273697093615*0.31895408920883117/(0.7469041650390638**0.4761314232878052),[0.84762737 0.31895409 0.74690417 0.47613142],1.6369391024300193,"{'fitness 25': 1.5445344918892683, 'fitness 53': 1.629291728235379, 'fitness 74': 1.6422722150815618, 'fitness 102': 1.6392533639731177}",False
18,"[[0], [3], [], [], [], [], [1], []]",1.5599208169117664,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.2950557342230097,[0.29505573],1.6522423354771079,"{'fitness 25': 1.5599208169117664, 'fitness 53': 1.6445745410318717, 'fitness 74': 1.6575846684265423, 'fitness 102': 1.6545677969729098}",False
19,"[[0], [3], [], [], [], [], [1], []]",1.6615043866099612,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.1921786541937588,[0.19217865],1.7533091389070756,"{'fitness 25': 1.6615043866099612, 'fitness 53': 1.7455161826546743, 'fitness 74': 1.758707849285672, 'fitness 102': 1.7557033847808803}",False
20,"[[0], [3], [], [], [], [], [1], []]",1.7433742058622934,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.10937793871983381,[0.10937794],1.8347990253245667,"{'fitness 25': 1.7433742058622934, 'fitness 53': 1.8269159963307864, 'fitness 74': 1.8402381601375326, 'fitness 102': 1.837242919505381}",False
21,"[[0], [3], [], [], [], [], [1], []]",1.7474551183441902,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.10525294448774003,[0.10525294],1.8388617791948985,"{'fitness 25': 1.7474551183441902, 'fitness 53': 1.8309744852505467, 'fitness 74': 1.8443028249977422, 'fitness 102': 1.8413080273364069}",False
22,"[[0], [3], [], [], [], [], [1], []]",1.7649464085875044,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.08757506079133037,[0.08757506],1.8562760382007977,"{'fitness 25': 1.7649464085875044, 'fitness 53': 1.848370691695848, 'fitness 74': 1.8617251696481967, 'fitness 102': 1.8587322532583488}",False
23,"[[0], [1], [3, 0], [3, 2], [1], [3, 2, 0], [1, 1, 0, 1], [0]]",1.7694360541824596,7,(Constant/Constant*((x[0]+Constant)**Constant)),"[1, 1, 2, 2, 1, 3, 4, 1]",(0.07140671173537727/0.9768852589060669*((x[0]+0.8656475418954794)**0.22334186898327257)),[0.07140671 0.97688526 0.86564754 0.22334187],1.860808109336291,"{'fitness 25': 1.7694360541824596, 'fitness 53': 1.8529475230449854, 'fitness 74': 1.866152592254994, 'fitness 102': 1.863324212708894}",False
24,"[[0], [0], [0, 1], [3, 2, 2, 3], [0, 2], [3, 3, 3, 2], [1, 1, 0, 0, 0], [0, 0, 1]]",1.850975772107769,7,Constant/(Constant/x[0]**Constant)/((x[0]**Constant)*x[1]),"[1, 1, 2, 4, 2, 4, 5, 3]",0.7312476314306473/(0.37124189674184893/x[0]**0.6163831858553658)/((x[0]**0.4172694237751068)*x[1]),[0.73124763 0.3712419  0.61638319 0.41726942],1.9417922431788883,"{'fitness 25': 1.850975772107769, 'fitness 53': 1.9338586554783401, 'fitness 74': 1.9472658682333372, 'fitness 102': 1.944252205824988}",False
25,"[[0], [1], [0, 2], [1, 0, 2], [1, 1, 1, 0, 0], [3, 2, 0, 3, 2, 3, 3, 2, 0], [0, 1, 1, 0, 0, 0, 1, 0, 0, 1], [0, 0, 1, 0, 1, 0]]",1.8516487692452919,7,(((x[0]/Constant)*(Constant+x[0]))/(x[1]*x[0])/Constant/x[1]*((x[0]+Constant**Constant)**Constant)),"[1, 1, 2, 3, 5, 9, 10, 6]",(((x[0]/0.4656874597005749)*(0.12644001948062167+x[0]))/(x[1]*x[0])/0.7169465621709549/x[1]*((x[0]+0.4408270428033001**0.8262023042455348)**0.5631233852218128)),[0.46568746 0.12644002 0.71694656 0.44082704 0.8262023  0.56312339],1.9426144699242431,"{'fitness 25': 1.8516487692452919, 'fitness 53': 1.93462490636653, 'fitness 74': 1.9481012643314004, 'fitness 102': 1.9451172390747988}",False
26,"[[0], [0], [0, 3], [3, 1], [0, 0], [3, 3, 0, 1, 1], [1, 0, 1, 0, 1, 1], [0, 1]]",2.1184133872780078,7,Constant/(x[0]/Constant+x[1]-Constant)-Constant,"[1, 1, 2, 2, 2, 5, 6, 2]",0.6979017165960368/(x[0]/0.6868612737548547+x[1]-0.16343673969926287)-0.2692405134505228,[0.69790172 0.68686127 0.16343674 0.26924051],2.2083643035147342,"{'fitness 25': 2.1184133872780078, 'fitness 53': 2.2001797412306434, 'fitness 74': 2.2139428548478395, 'fitness 102': 2.210970314465719}",False
27,"[[0], [1], [0, 0], [1, 0, 0, 1], [1, 1, 0, 1, 2, 1, 1, 2], [3, 1, 2, 0, 2, 1, 3, 2, 3, 1, 0, 0, 2], [1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0], [0, 0, 0, 1, 0, 0]]",2.2211761009373894,7,(((Constant/Constant)-(Constant*x[0]))+Constant*Constant-(x[0]/x[0])*Constant/(x[1]-Constant)+((x[0]+Constant)*x[0])),"[1, 1, 2, 4, 8, 13, 14, 6]",(((0.8254207918614992/0.25329385957588546)-(0.9869131550161612*x[0]))+0.4301631930967551*0.0907209174841902-(x[0]/x[0])*0.14964954300211353/(x[1]-0.2186141053676841)+((x[0]+0.6043075562063447)*x[0])),"[0.82542079 0.25329386 0.98691316 0.43016319 0.09072092 0.14964954
 0.21861411 0.60430756]",2.1649940830617336,"{'fitness 25': 2.2211761009373894, 'fitness 53': 2.1762693245157068, 'fitness 74': 2.1658978773469726, 'fitness 102': 2.1528150473225214}",False
28,"[[0], [0], [2, 1], [2, 2, 2], [1, 0, 1], [1, 2, 1, 2, 0], [0, 1, 0, 1, 1, 1], [1, 0]]",2.3360069714647667,7,(((x[1]-Constant)**Constant)**Constant)*((x[0]-Constant**Constant)*((Constant+Constant)**Constant)),"[1, 1, 2, 3, 3, 5, 6, 2]",(((x[1]-0.22821549387793783)**0.27251207112744447)**0.6526917524832189)*((x[0]-0.991537726297466**0.11911422464284371)*((0.21416218991621883+0.513147802704877)**0.5909445451210309)),"[0.22821549 0.27251207 0.65269175 0.99153773 0.11911422 0.21416219
 0.5131478  0.59094455]",2.385800837686384,"{'fitness 25': 2.3360069714647667, 'fitness 53': 2.4069011276934953, 'fitness 74': 2.35306153177529, 'fitness 102': 2.3974398535903667}",False
29,"[[0], [2], [0], [1, 1], [1, 2, 2, 0], [2, 3, 1, 3, 3], [0, 1, 0, 1, 1, 0], [1, 1, 0]]",2.5917568162972184,7,(((x[1]*Constant)/x[1])-(Constant/Constant/x[0])**Constant),"[1, 1, 1, 2, 4, 5, 6, 3]",(((x[1]*0.05729483482201225)/x[1])-(0.15985964100026828/0.34082850673893983/x[0])**0.3696036244479336),[0.05729483 0.15985964 0.34082851 0.36960362],2.682096496644925,"{'fitness 25': 2.5917568162972184, 'fitness 53': 2.6754918872297453, 'fitness 74': 2.683581192955039, 'fitness 102': 2.6872164097499907}",False
30,"[[0], [2], [1], [2, 1], [1, 1, 2], [3, 2, 0, 1], [1, 0, 0, 0, 1], [1, 1, 1]]",10.823886110787472,7,((((Constant/x[1])**Constant)*((x[1]+x[1])-Constant))**Constant),"[1, 1, 1, 2, 3, 4, 5, 3]",((((0.008376844969463115/x[1])**0.2387239977386847)*((x[1]+x[1])-0.47249871779537367))**0.43949977716186117),[0.00837684 0.238724   0.47249872 0.43949978],10.235754407710507,"{'fitness 25': 10.823886110787472, 'fitness 53': 10.417557337711786, 'fitness 74': 10.22963656578681, 'fitness 102': 10.060069319632921}",False
31,"[[0], [2], [2], [1], [1, 1], [1, 0, 0], [0, 1, 1, 0], [1, 0]]",24.642362265240106,7,((((x[1]-Constant)+(Constant+x[0]))**Constant)**Constant),"[1, 1, 1, 1, 2, 3, 4, 2]",((((x[1]-0.17096927398812412)+(0.4324551348952249+x[0]))**0.7236443566699331)**0.552924703128636),[0.17096927 0.43245513 0.72364436 0.5529247 ],23.291715110560887,"{'fitness 25': 24.642362265240106, 'fitness 53': 23.72799169008937, 'fitness 74': 23.28660219229266, 'fitness 102': 22.860551449300637}",False
32,"[[0], [0], [2, 2], [0, 3], [2, 1], [3, 1, 3], [0, 0, 1, 0], [1, 1, 0]]",100.31073041419874,7,(x[1]/(x[1]-Constant)**Constant)/(x[0]**Constant),"[1, 1, 2, 2, 2, 3, 4, 3]",(x[1]/(x[1]-0.4037130298159254)**0.44023051750030917)/(x[0]**0.1802474908179187),[0.40371303 0.44023052 0.18024749],92.7930747764896,"{'fitness 25': 100.31073041419874, 'fitness 53': 95.29307324078839, 'fitness 74': 92.5289788659219, 'fitness 102': 90.55717222275854}",False
33,"[[0], [2], [0], [3, 2], [2], [3], [0, 0], [1, 1]]",172.03361738565783,7,(x[1]/(x[1]**Constant)**Constant),"[1, 1, 1, 2, 1, 1, 2, 2]",(x[1]/(x[1]**0.4783172985543712)**0.7834046991201306),[0.4783173 0.7834047],159.8655870813748,"{'fitness 25': 172.03361738565783, 'fitness 53': 163.93087885126496, 'fitness 74': 159.97677772786045, 'fitness 102': 155.68910466499904}",False
34,"[[0], [1], [0, 3], [2, 2], [1, 2], [0, 3, 2], [0, 0, 1, 1], [0, 1]]",1832.9338701532415,7,(((x[0]+x[1])**Constant)/(Constant**Constant)*Constant),"[1, 1, 2, 2, 2, 3, 4, 2]",(((x[0]+x[1])**0.8447256774027035)/(0.21089570542820435**0.3831058200226082)*0.9004300507871084),[0.84472568 0.21089571 0.38310582 0.90043005],1672.2958765909361,"{'fitness 25': 1832.9338701532415, 'fitness 53': 1726.3066891276771, 'fitness 74': 1675.0070271224158, 'fitness 102': 1615.5739135227154}",False
35,"[[0], [1], [0, 3], [0, 2], [2, 2, 2], [2, 1, 2], [0, 1, 1, 0], [1, 1]]",2430.0112137617825,7,(x[1]*Constant-(Constant**Constant)*x[1]),"[1, 1, 2, 2, 3, 3, 4, 2]",(x[1]*0.2812564176824077-(0.654369416477762**0.38293657598983044)*x[1]),[0.28125642 0.65436942 0.38293658],2187.9859695973137,"{'fitness 25': 2430.0112137617825, 'fitness 53': 2269.4189260660723, 'fitness 74': 2192.818769702283, 'fitness 102': 2101.720213023585}",False
36,"[[0], [2], [3], [], [], [], [0], [1]]",3240.3799573701026,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.9681326573190253),[0.96813266],2925.294415551212,"{'fitness 25': 3240.3799573701026, 'fitness 53': 3031.297817813952, 'fitness 74': 2931.436094921926, 'fitness 102': 2813.1493339177573}",False
