,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,opt_const,fitness val,other_info,optimized
11,"[[0], [1], [3, 0], [3, 2], [1], [3, 2, 0], [1, 1, 1, 0], [1]]",0.9400993059614335,7,(Constant/Constant*((Constant+x[1])**Constant)),"[1, 1, 2, 2, 1, 3, 4, 1]",(0.39186076561037053/0.8458885376218347*((0.48999044006951464+x[1])**0.08676478200225624)),[0.39186077 0.84588854 0.48999044 0.08676478],1.0519914795628693,"{'fitness 25': 0.9400993059614335, 'fitness 53': 1.0411158510976228, 'fitness 74': 1.057366775529326, 'fitness 102': 1.0574918120616592}",False
12,"[[0], [2], [3], [1, 0, 2], [1, 1, 1, 0, 0], [], [0, 1, 1, 0, 0, 0, 1, 0, 0, 1], [0, 0, 1, 0, 1, 0]]",0.9411123243337693,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.3990195102857773),[0.39901951],1.0414511574438394,"{'fitness 25': 0.9411123243337693, 'fitness 53': 1.0384420458307404, 'fitness 74': 1.0408751739727258, 'fitness 102': 1.0450362525280523}",False
13,"[[0], [0], [3, 0], [1, 2], [0, 2, 2], [2, 3, 0, 1], [1, 0, 0, 1, 1], [1, 1]]",0.9465701509183944,7,Constant*(x[1]/x[1]+Constant)-(Constant**Constant),"[1, 1, 2, 2, 3, 4, 5, 2]",0.6651015191559875*(x[1]/x[1]+0.6345348794225033)-(0.102970169232935**0.7931979517464187),[0.66510152 0.63453488 0.10297017 0.79319795],1.0436620685629319,"{'fitness 25': 0.9465701509183944, 'fitness 53': 1.0373345387188957, 'fitness 74': 1.0483871068867372, 'fitness 102': 1.0452645600831627}",False
14,"[[0], [2], [3], [], [], [], [0], [0]]",0.9527844170829727,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.4737407324662727),[0.47374073],1.0533487107826742,"{'fitness 25': 0.9527844170829727, 'fitness 53': 1.0508215345277163, 'fitness 74': 1.0519496667678003, 'fitness 102': 1.0572749310525056}",False
15,"[[0], [2], [3, 1], [0, 0, 3], [1, 2, 0, 0], [0, 2, 3, 2, 3, 0, 3], [0, 0, 1, 1, 0, 0, 1, 0], [0, 0, 1, 1, 0]]",1.0014427921529248,5,(x[0]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[0]**0.8178700029170262),[0.81787],1.1024623320978515,"{'fitness 25': 1.0014427921529248, 'fitness 53': 1.10187574099698, 'fitness 74': 1.0977607392272581, 'fitness 102': 1.1077505160693166}",False
16,"[[0], [2], [3], [3, 2], [], [], [1], []]",1.0159955771839166,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.7679442347273481**0.6134162640424486),[0.76794423 0.61341626],1.1123497663970265,"{'fitness 25': 1.0159955771839166, 'fitness 53': 1.1057878961785337, 'fitness 74': 1.117184406473108, 'fitness 102': 1.1140769965394373}",False
17,"[[0], [3], [], [], [], [], [0], [0]]",1.0240800867653967,4,x[0],"[1, 1, 0, 0, 0, 0, 1, 1]",x[0],[],1.1250398661405236,"{'fitness 25': 1.0240800867653967, 'fitness 53': 1.125333561886798, 'fitness 74': 1.118858927232444, 'fitness 102': 1.130927109302329}",False
18,"[[0], [3], [3, 0], [0, 1, 3], [0, 1, 2, 2], [2, 0, 0, 1, 3], [1, 0, 0, 1, 1, 1], [0, 0, 1, 1, 0]]",1.0613310411956292,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.8037091902720228,[0.80370919],1.1572380689383175,"{'fitness 25': 1.0613310411956292, 'fitness 53': 1.1505399448884905, 'fitness 74': 1.16213612677632, 'fitness 102': 1.1590381351501413}",False
19,"[[0], [2], [3], [0], [2, 1], [], [1, 1, 1], [0]]",1.091085849001875,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.7508975054627336**0.898351967717578),[0.75089751 0.89835197],1.1867132165575855,"{'fitness 25': 1.091085849001875, 'fitness 53': 1.1799319089251805, 'fitness 74': 1.1916498770925208, 'fitness 102': 1.1885578636550551}",False
20,"[[0], [3], [], [], [], [], [1], []]",1.1072232488028562,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.7564975374731121,[0.75649754],1.2027033142225865,"{'fitness 25': 1.1072232488028562, 'fitness 53': 1.1958787901259738, 'fitness 74': 1.207659995436073, 'fitness 102': 1.2045711571057132}",False
21,"[[0], [0], [2, 1], [0, 1, 3], [1, 2, 0, 1], [2, 2, 3, 2, 3, 0, 3], [0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 1, 0]]",1.1295093991041003,7,((x[0]*x[0])*Constant**Constant)/((Constant*x[1]/(x[1]+x[0]))/Constant),"[1, 1, 2, 3, 4, 7, 8, 5]",((x[0]*x[0])*0.7126570537389314**0.291744460317535)/((0.4252663102299258*x[1]/(x[1]+x[0]))/0.7614622849960937),[0.71265705 0.29174446 0.42526631 0.76146228],1.201179492296644,"{'fitness 25': 1.1295093991041003, 'fitness 53': 1.2146240437174278, 'fitness 74': 1.1836932486313685, 'fitness 102': 1.2052211845411356}",False
22,"[[0], [2], [3], [1, 2], [], [], [1, 0, 0, 1, 1], [0]]",1.1768480331746345,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.4106359392940996**0.42495090649740175),[0.41063594 0.42495091],1.2717257254260697,"{'fitness 25': 1.1768480331746345, 'fitness 53': 1.2647285341666032, 'fitness 74': 1.276762157201513, 'fitness 102': 1.2736864849100933}",False
23,"[[0], [3], [], [], [], [], [1], []]",1.1877308474056794,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.6739310519965404,[0.67393105],1.28251900531396,"{'fitness 25': 1.1877308474056794, 'fitness 53': 1.2754966827138838, 'fitness 74': 1.2875670121712643, 'fitness 102': 1.2844933210567315}",False
24,"[[0], [2], [1], [3, 3], [1], [3], [1, 1], [0]]",1.2892440350267724,5,((Constant/Constant)**Constant),"[1, 1, 1, 2, 0, 1, 2, 0]",((0.0279768855290633/0.9811307823300847)**0.15791840347906383),[0.02797689 0.98113078 0.1579184 ],1.3832516008434823,"{'fitness 25': 1.2892440350267724, 'fitness 53': 1.376015609771953, 'fitness 74': 1.3883976790518007, 'fitness 102': 1.3853415137066931}",False
25,"[[0], [3], [], [], [], [], [1], []]",1.3069656714870375,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.5521280371493361,[0.55212804],1.4008463873668264,"{'fitness 25': 1.3069656714870375, 'fitness 53': 1.3935765530162183, 'fitness 74': 1.4060079424027119, 'fitness 102': 1.4029546666815493}",False
26,"[[0], [3], [], [], [], [], [1], []]",1.3285131654686437,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.5301670814626813,[0.53016708],1.4222431411462366,"{'fitness 25': 1.3285131654686437, 'fitness 53': 1.4149333939818862, 'fitness 74': 1.427422928342351, 'fitness 102': 1.4243731011144727}",False
27,"[[0], [0], [3, 3], [], [], [2], [1, 1], []]",1.3350559716137957,4,Constant*Constant,"[1, 1, 2, 0, 0, 1, 2, 0]",0.8603209172291033*0.608495545825002,[0.86032092 0.60849555],1.428740916373908,"{'fitness 25': 1.3350559716137957, 'fitness 53': 1.4214193091872178, 'fitness 74': 1.4339261169643263, 'fitness 102': 1.4308773229701799}",False
28,"[[0], [3], [], [], [], [], [1], []]",1.344664101319908,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.5137151684596708,[0.51371517],1.438283530990212,"{'fitness 25': 1.344664101319908, 'fitness 53': 1.4309447201014303, 'fitness 74': 1.4434765805632188, 'fitness 102': 1.4404292923059865}",False
29,"[[0], [3], [1], [3, 0], [], [2, 2, 0], [1], []]",1.5577640366324976,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.2972418434209638,[0.29724184],1.6500971222458531,"{'fitness 25': 1.5577640366324976, 'fitness 53': 1.6424321654617213, 'fitness 74': 1.655438174284851, 'fitness 102': 1.6524210269909871}",False
30,"[[0], [3], [], [], [], [], [1], []]",1.5925792200283655,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.26196312841920766,[0.26196313],1.6847287156605173,"{'fitness 25': 1.5925792200283655, 'fitness 53': 1.677018908977652, 'fitness 74': 1.6900899987334126, 'fitness 102': 1.6870772392704871}",False
31,"[[0], [0], [2, 3], [0, 1, 3], [1, 2, 1, 1], [2, 2, 3, 2, 0, 3, 3], [0, 0, 1, 1, 0, 0, 0, 1], [0, 0, 1, 1, 0]]",1.5972655312298707,7,((x[0]*x[0])*Constant**Constant)/Constant,"[1, 1, 2, 1, 2, 3, 4, 2]",((x[0]*x[0])*0.12301172803458471**0.680107459638674)/0.8609808755832572,[0.12301173 0.68010746 0.86098088],1.6919080202021661,"{'fitness 25': 1.5972655312298707, 'fitness 53': 1.686400564475328, 'fitness 74': 1.6927542532027726, 'fitness 102': 1.6965692429283978}",False
32,"[[0], [0], [3, 3], [3, 3], [0, 2], [3, 3, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 0]]",1.6191944591389413,5,Constant/x[0],"[1, 1, 2, 0, 0, 1, 2, 1]",0.1903722441771829/x[0],[0.19037224],1.7088734665335403,"{'fitness 25': 1.6191944591389413, 'fitness 53': 1.6992131810456461, 'fitness 74': 1.7180626590267087, 'fitness 102': 1.709344559528266}",False
33,"[[0], [3], [], [], [], [], [1], []]",1.625381989692604,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.22874213865435444,[0.22874214],1.7173644155037942,"{'fitness 25': 1.625381989692604, 'fitness 53': 1.709614140787595, 'fitness 74': 1.7227439271267166, 'fitness 102': 1.7197351785970707}",False
34,"[[0], [3], [], [], [], [], [1], []]",1.6316246167247006,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.2224218615456134,[0.22242186],1.7235758739003728,"{'fitness 25': 1.6316246167247006, 'fitness 53': 1.7158180854409582, 'fitness 74': 1.7289587673165336, 'fitness 102': 1.7259507689436269}",False
35,"[[0], [3], [], [], [], [], [1], [1]]",1.642422559960656,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.2114910254184713,[0.21149103],1.734320365656156,"{'fitness 25': 1.642422559960656, 'fitness 53': 1.7265497178953548, 'fitness 74': 1.739709044814227, 'fitness 102': 1.7367023342588868}",False
36,"[[0], [2], [3, 1], [3, 0], [0, 1, 0], [2, 2, 0], [1, 1, 1, 1], []]",1.6985856445887735,4,(Constant**Constant),"[1, 1, 1, 0, 0, 0, 1, 0]",(0.10984746592838246**0.8450803410076003),[0.10984747 0.84508034],1.790214536964528,"{'fitness 25': 1.6985856445887735, 'fitness 53': 1.782379688476798, 'fitness 74': 1.795632064023821, 'fitness 102': 1.7926318583929648}",False
37,"[[0], [3], [2, 1], [0, 1, 3], [], [], [1], [0, 0, 1, 1, 0]]",1.6997670977698387,3,Constant,"[1, 1, 0, 0, 0, 0, 1, 0]",0.1534695260885286,[0.15346953],1.7913904919685308,"{'fitness 25': 1.6997670977698387, 'fitness 53': 1.7835543393399886, 'fitness 74': 1.7968086043746214, 'fitness 102': 1.7938085321909827}",False
38,"[[0], [0], [3, 3], [], [0, 2, 2], [2, 3, 0, 1], [1, 0, 0, 1, 1], [0]]",1.7204812883047733,5,Constant*x[0],"[1, 1, 2, 0, 0, 1, 2, 1]",0.143820434726057*x[0],[0.14382043],1.8128190206652512,"{'fitness 25': 1.7204812883047733, 'fitness 53': 1.8056149798484806, 'fitness 74': 1.8168476030554639, 'fitness 102': 1.8159944790918097}",False
39,"[[0], [0], [2, 3], [0], [0, 0], [2, 3, 3, 3], [0, 0, 1, 0, 0], [0, 0, 0, 1]]",1.850164660817442,7,(x[0]*x[0]/Constant/x[0]**Constant)/x[1],"[1, 1, 2, 1, 2, 4, 5, 4]",(x[0]*x[0]/0.21891068849178452/x[0]**0.8216490454812965)/x[1],[0.21891069 0.82164905],1.9408948125559513,"{'fitness 25': 1.850164660817442, 'fitness 53': 1.9330076049838734, 'fitness 74': 1.9463449148409857, 'fitness 102': 1.9433319178429946}",False
40,"[[0], [0], [0, 1], [3, 2, 0, 3], [0, 2, 2], [3, 3, 3, 2, 1], [1, 1, 0, 0, 0, 0], [0, 1, 1, 0]]",1.851649278884394,7,Constant/(Constant/x[0]**Constant)/(x[1]*x[1]-x[0]),"[1, 1, 2, 4, 3, 5, 6, 4]",0.47462356843861986/(0.7852695192754569/x[0]**0.31106232439435944)/(x[1]*x[1]-x[0]),[0.47462357 0.78526952 0.31106232],1.942615218782059,"{'fitness 25': 1.851649278884394, 'fitness 53': 1.934625537984606, 'fitness 74': 1.9481020585376543, 'fitness 102': 1.9451180598239162}",False
41,"[[0], [0], [0, 3], [3, 1], [1, 2], [3, 3, 0, 1, 1], [0, 1, 1, 1, 1], [0]]",1.9123170741241584,6,x[0]/((Constant/Constant)+Constant)-Constant,"[1, 1, 2, 2, 2, 4, 5, 1]",x[0]/((0.7178103727274747/0.042414480313467395)+0.07852772572787181)-0.11581830828909034,[0.71781037 0.04241448 0.07852773 0.11581831],2.0033502414003963,"{'fitness 25': 1.9123170741241584, 'fitness 53': 1.9955571186628012, 'fitness 74': 2.008299632803587, 'fitness 102': 2.0061939727348}",False
42,"[[0], [1], [2, 2], [0, 2], [0, 2, 0], [3, 1, 1, 3], [1, 0, 1, 1, 0], [0, 0]]",2.871550196057356,7,((Constant/x[0]-Constant**Constant)-((Constant/x[0]**Constant)**Constant)),"[1, 1, 2, 2, 3, 4, 5, 2]",((0.5752084108916433/x[0]-0.5176934120136522**0.3889239341773236)-((0.4934319646741836/x[0]**0.3634301351620428)**0.09285305051776072)),[0.57520841 0.51769341 0.38892393 0.49343196 0.36343014 0.09285305],2.955626766826555,"{'fitness 25': 2.871550196057356, 'fitness 53': 2.9427891388571767, 'fitness 74': 2.9711367130161976, 'fitness 102': 2.95295444860629}",False
43,"[[0], [0], [2, 1], [0, 1, 0], [1, 2, 0, 1, 0, 0], [2, 2, 3, 2, 3, 2, 3, 1, 0, 2], [0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0], [0, 1, 0, 1, 0, 1]]",6.437611115740378,7,((x[0]*x[1])*Constant**Constant)/((Constant*x[0]/(x[1]*x[0]))/Constant-Constant+Constant*x[1]),"[1, 1, 2, 3, 6, 10, 11, 6]",((x[0]*x[1])*0.24811670722828028**0.4272361123893983)/((0.4249571280754406*x[0]/(x[1]*x[0]))/0.4781193286313443-0.6424781368620027+0.06938264699600827*x[1]),[0.24811671 0.42723611 0.42495713 0.47811933 0.64247814 0.06938265],6.403792362900746,"{'fitness 25': 6.437611115740378, 'fitness 53': 6.407185486610462, 'fitness 74': 6.441912484366607, 'fitness 102': 6.36227911772517}",False
44,"[[0], [2], [1], [3, 0], [2, 2], [0, 1, 0, 3], [0, 0, 1, 0, 0], [0, 1]]",19.162003244766947,7,((x[0]+x[1]-Constant)**Constant),"[1, 1, 1, 2, 2, 2, 3, 2]",((x[0]+x[1]-0.014079818929363719)**0.3721033453209286),[0.01407982 0.37210335],18.13852653185775,"{'fitness 25': 19.162003244766947, 'fitness 53': 18.465405488744175, 'fitness 74': 18.132279026539017, 'fitness 102': 17.817895080290057}",False
45,"[[0], [2], [3], [0, 1, 3], [], [2, 2, 3, 2, 3, 0, 3], [0], [1, 0, 1, 1, 0]]",251.191334049538,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.6697098939128318),[0.66970989],232.56036103441235,"{'fitness 25': 251.191334049538, 'fitness 53': 238.79756183091305, 'fitness 74': 232.7656293622602, 'fitness 102': 226.1178919100638}",False
46,"[[0], [0], [1, 0], [2, 1, 2, 1], [1, 1, 2, 2, 2, 2], [3, 2, 1, 1, 3, 2, 2], [1, 0, 0, 0, 1, 1, 1, 1], [0, 1, 0]]",606.7570797254954,7,(((Constant/x[0])**Constant)*((x[1]-x[0])-Constant))/(Constant**Constant)*(Constant*Constant),"[1, 1, 2, 4, 6, 7, 8, 3]",(((0.21987636550266132/x[0])**0.9331670515813149)*((x[1]-x[0])-0.3927416283605034))/(0.31469613649379535**0.334292830883403)*(0.7067692351616054*0.45707827410914315),"[0.21987637 0.93316705 0.39274163 0.31469614 0.33429283 0.70676924
 0.45707827]",492.8322083841081,"{'fitness 25': 606.7570797254954, 'fitness 53': 526.5323496021824, 'fitness 74': 481.60659368825816, 'fitness 102': 470.35768186188386}",False
47,"[[0], [2], [3], [], [], [], [0], [1]]",3750.4992260298923,5,(x[1]**Constant),"[1, 1, 1, 0, 0, 0, 1, 1]",(x[1]**0.9850590054557359),[0.98505901],3380.900709346106,"{'fitness 25': 3750.4992260298923, 'fitness 53': 3505.2408400633826, 'fitness 74': 3388.2035417378643, 'fitness 102': 3249.2577462370705}",False
48,"[[0], [2], [0], [0, 1], [0, 0, 1, 0], [1, 0, 1, 0, 3, 1, 1], [1, 0, 0, 1, 0, 1, 1, 0], [0, 1, 1, 0]]",4268.063070174756,7,(Constant-x[0]+x[1]-Constant+((x[1]/Constant)-Constant-x[0])**Constant),"[1, 1, 1, 2, 4, 7, 8, 4]",(0.9349576434696436-x[0]+x[1]-0.4612467893055229+((x[1]/0.8146821093393214)-0.17784946170147786-x[0])**0.005722032707610514),[0.93495764 0.46124679 0.81468211 0.17784946 0.00572203],3842.5293234133483,"{'fitness 25': 4268.063070174756, 'fitness 53': 3985.6810610404564, 'fitness 74': 3851.0172770125496, 'fitness 102': 3690.8896321870393}",False
49,"[[0], [0], [3, 1], [0, 2], [0, 1, 0], [3, 2, 2, 3, 1, 2], [0, 0, 0, 0, 0, 0, 1], [1, 0, 0, 0, 1, 0]]",6076.906077446257,7,x[1]/(x[0]*x[0]*(x[0]/x[1])-(x[0]*Constant**Constant)),"[1, 1, 2, 2, 3, 6, 7, 6]",x[1]/(x[0]*x[0]*(x[0]/x[1])-(x[0]*0.7347251805577307**0.38059791097979745)),[0.73472518 0.38059791],4895.490004593047,"{'fitness 25': 6076.906077446257, 'fitness 53': 5241.69632502569, 'fitness 74': 4772.6422726748715, 'fitness 102': 4672.131416078578}",False
